food_product,land_use,animal_feed,farm,processing,transport,packging,retail,total_emissions,plant_based
Wheat & Rye (Bread),0.1,0.0,0.8,0.2,0.1,0.1,0.1,1.4000000000000004,1
Maize (Meal),0.3,0.0,0.5,0.1,0.1,0.1,0.0,1.1,1
Barley (Beer),0.0,0.0,0.2,0.1,0.0,0.5,0.3,1.1,1
Oatmeal,0.0,0.0,1.4,0.0,0.1,0.1,0.0,1.6,1
Rice,0.0,0.0,3.6,0.1,0.1,0.1,0.1,4.0,1
Potatoes,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.30000000000000004,1
Cassava,0.6,0.0,0.2,0.0,0.1,0.0,0.0,0.9,1
Cane Sugar,1.2,0.0,0.5,0.0,0.8,0.1,0.0,2.6,1
Beet Sugar,0.0,0.0,0.5,0.2,0.6,0.1,0.0,1.4,1
Other Pulses,0.0,0.0,1.1,0.0,0.1,0.4,0.0,1.6,1
Peas,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.7999999999999999,1
Nuts,-2.1,0.0,2.1,0.0,0.1,0.1,0.0,0.2,1
Groundnuts,0.4,0.0,1.4,0.4,0.1,0.1,0.0,2.4,1
Soymilk,0.2,0.0,0.1,0.2,0.1,0.1,0.3,1.0,1
Tofu,1.0,0.0,0.5,0.8,0.2,0.2,0.3,3.0,1
Soybean Oil,3.1,0.0,1.5,0.3,0.3,0.8,0.0,5.999999999999999,1
Palm Oil,3.1,0.0,2.1,1.3,0.2,0.9,0.0,7.6,1
Sunflower Oil,0.1,0.0,2.1,0.2,0.2,0.9,0.0,3.5000000000000004,1
Rapeseed Oil,0.2,0.0,2.3,0.2,0.2,0.8,0.0,3.7,1
Olive Oil,-0.4,0.0,4.3,0.7,0.5,0.9,0.0,6.0,1
Tomatoes,0.4,0.0,0.7,0.0,0.2,0.1,0.0,1.4,1
Onions & Leeks,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.30000000000000004,1
Root Vegetables,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.30000000000000004,1
Brassicas,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.4,1
Other Vegetables,0.0,0.0,0.2,0.1,0.2,0.0,0.0,0.5,1
Citrus Fruit,-0.1,0.0,0.3,0.0,0.1,0.0,0.0,0.3,1
Bananas,0.0,0.0,0.3,0.1,0.3,0.1,0.0,0.7999999999999999,1
Apples,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.30000000000000004,1
Berries & Grapes,0.0,0.0,0.7,0.0,0.2,0.2,0.0,1.1,1
Wine,-0.1,0.0,0.6,0.1,0.1,0.7,0.0,1.4,1
Other Fruit,0.1,0.0,0.4,0.0,0.2,0.0,0.0,0.7,1
Coffee,3.7,0.0,10.4,0.6,0.1,1.6,0.1,16.500000000000004,1
Dark Chocolate,14.3,0.0,3.7,0.2,0.1,0.4,0.0,18.7,1
Beef (beef herd),16.3,1.9,39.4,1.3,0.3,0.2,0.2,59.6,0
Beef (dairy herd),0.9,2.5,15.7,1.1,0.4,0.3,0.2,21.1,0
Lamb & Mutton,0.5,2.4,19.5,1.1,0.5,0.3,0.2,24.5,0
Pig Meat,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,0
Poultry Meat,2.5,1.8,0.7,0.4,0.3,0.2,0.2,6.1000000000000005,0
Milk,0.5,0.2,1.5,0.1,0.1,0.1,0.3,2.8000000000000003,0
Cheese,4.5,2.3,13.1,0.7,0.1,0.2,0.3,21.2,0
Eggs,0.7,2.2,1.3,0.0,0.1,0.2,0.0,4.5,0
Fish (farmed),0.5,0.8,3.6,0.0,0.1,0.1,0.0,5.1,0
Shrimps (farmed),0.2,2.5,8.4,0.0,0.2,0.3,0.2,11.8,0
